Employee Code,Manager Employee Code,Last Compensation,Compensation,Last Pay Raise Date,Variable Pay,Tenure in Org,Performance Rating,Engagement Score,Effective Date,End Date
1,,,20000,,,,,,1/1/2021,1/1/2100
2,1,,20000,,0,,,,1/1/2021,2/28/2021
2,1,,20000,,,,,4,3/1/2021,5/31/2021
2,1,,20000,,,,9,4,6/1/2021,12/31/2021
2,1,20000,10000,1/1/2022,0,,9,4,1/1/2022,2/28/2022
2,1,20000,10000,1/1/2022,0,,9,5,3/1/2022,5/31/2022
2,1,20000,10000,1/1/2022,0,,9.5,5,6/1/2022,12/31/2022
2,1,10000,20000,1/1/2023,0,,9.5,5,1/1/2023,1/1/2100
3,1,,20000,,,,,,1/1/2021,2/28/2021
3,1,,20000,,,,,4,3/1/2021,5/31/2021
3,1,,20000,,,,9,4,6/1/2021,12/31/2021
3,1,20000,10000,1/1/2022,0,,9,4,1/1/2022,2/28/2022
3,1,20000,10000,1/1/2022,0,,9,5,3/1/2022,5/31/2022
3,1,20000,10000,1/1/2022,0,,9.5,5,6/1/2022,12/31/2022
3,1,10000,20000,1/1/2023,0,,9.5,5,1/1/2023,12/30/2023
